timestamp,Дистанция,Точка отправления,Точка прибытия,Эконом,Комфорт,Комфорт+,Business,Детский,Длительность,Actual_state,Temp,Humidity
2024-07-08 14:11,5.4 км,"Денисова-Уральского б-р, 9","ул. Юмашева, 11",412,443,493,624,512, 23 мин,scattered clouds,25.77C,44%
2024-07-09 13:02,5.6 км,"ул. Гагарина, 55-б","ул. Павлодарская, 15а",332,360,459,604,332, 18 мин,clear sky,26.77C,44%
2024-07-11 12:14,7.6 км,"ул. Бисертская, 4в","ул. Симферопольская, 39",366,440,558,723,366, 27 мин,scattered clouds,26.77C,47%
2024-07-11 12:23,6.3 км,"ул. Таватуйская, 6","ул. Парниковая, 9",387,434,519,674,387, 23 мин,scattered clouds,26.77C,47%
2024-07-11 12:24,5.8 км,"ул. Комсомольская, 12","ул. 22 Партсъезда, 12",383,436,553,715,383, 25 мин,scattered clouds,26.77C,47%
2024-07-11 12:25,3.8 км,"ул. Межевая, 3","ул. Куйбышева, Строение 183",382,411,457,489,382, 10 мин,scattered clouds,26.77C,47%
2024-07-11 12:29,10.3 км,"ул. Ангарская, 48","ул. Академика Бардина, 33",719,695,851,855,649, 29 мин,scattered clouds,26.77C,47%
2024-07-11 12:40,14.4 км,"ул. Окраинная, 39","ул. Уральских рабочих, 55а",654,805,893,1088,744, 45 мин,scattered clouds,27.77C,44%
2024-07-11 12:43,4.0 км,"Кыштымский пер., 8а","ул. Хомякова, 13",300,360,404,542,300, 17 мин,scattered clouds,27.77C,44%
2024-07-11 12:45,2.5 км,"ул. Коммунистическая, 4","туп. Балаклавский, 3",212,278,314,436,212, 12 мин,scattered clouds,27.77C,44%
2024-07-11 12:49,4.2 км,"пр-кт Ленина, 2","ул. Авиационная, 65 корпус 4",291,321,405,545,291, 19 мин,scattered clouds,27.77C,44%
2024-07-11 13:02,4.9 км,"ул. Волгоградская, 222","Выездной пер., 2",323,349,447,593,323, 20 мин,scattered clouds,27.77C,44%
2024-07-11 13:04,11.7 км,"ул. Индустрии, 21","п. Шувакиш, ул. Привокзальная, 11",576,657,793,983,576, 35 мин,scattered clouds,27.77C,44%
2024-07-11 20:35,11.0 км,"ул. Чкалова, 43","Теплогорский пер., 8",516,583,716,904,516, 35 мин,light rain,21.77C,73%
2024-07-11 20:55,5.5 км,"ул. Сакко и Ванцетти, 100","ул. Надеждинская, 8",392,421,470,605,392, 19 мин,moderate rain,20.77C,78%
2024-07-19 12:41,3.4 км,"ул. Братская, 15","ул. Краснолесья, 16 корпус 3",382,472,436,811,382, 15 мин,,,
2024-07-21 23:12,2.4 км,"пр-кт Орджоникидзе, 4","ул. Майкопская, 24а",458,493,525,554,568, 13 мин,overcast clouds,12.48C,83%
2024-07-23 15:20,9.4 км,"ул. Байкальская, 27","ул. Соболева, 21 корпус 2",509,574,705,932,599, 26 мин,clear sky,18.77C,52%
2024-07-23 16:11,5.9 км,"ул. Молотобойцев, 15","ул. 40-летия Комсомола, 14",384,415,476,625,384, 21 мин,,,
2024-07-23 16:13,4.1 км,"ул. Вильгельма де Геннина, 47","ул. Бебеля, 148",342,374,419,558,342, 17 мин,,,
2024-07-23 16:14,7.2 км,"ул. Большакова, 85","ул. Патриса Лумумбы, 33а",448,485,520,676,448, 24 мин,,,
2024-07-23 18:45,8.6 км,"ул. Рощинская, 41","ул. Крауля, 13",105,105,114,199,300,105,,,,
2024-07-23 19:03,1.4 км,"ул. 8 Марта, 181 корпус 5","ул. Белинского, 183",149,149,114,199,376,149,,clear sky,9.77C,100%
2024-07-23 19:07,15.9 км,"пр-кт Космонавтов, 95","ул. Шишимская, 19",95,95,317,199,300,95,,clear sky,9.77C,100%
2024-07-23 19:11,20.1 км,"ул. Евгения Савкова, 8","ул. Испытателей, 16",95,95,114,199,300,95,,clear sky,9.77C,100%
